transaction_id,sender_card_id,receiver_bank_id,amount,timestamp
1,3520900009093127,68,4617.16,2024-06-28 01:38:41
2,4138417598688722,175,4457.69,2023-05-16 01:38:41
3,4975282193071930,201,71.95,2024-11-21 01:38:41
4,4500931306853741,62,29896.6,2024-04-17 01:38:41
5,3591593480104341,80,8585.01,2024-05-18 01:38:41
6,4142500109610303,3,4004.75,2024-04-18 01:38:41
7,4426857921061,111,6555.39,2023-07-12 01:38:41
8,3510499240739624,10,2291.99,2023-01-02 01:38:41
9,3550576473861786,22,8501.0,2023-05-04 01:38:41
10,4252459415315101302,58,5685.78,2023-09-09 01:38:41
11,3565276267250279,151,2224.77,2024-03-15 01:38:41
12,4790760026934872,120,673.57,2023-06-22 01:38:41
13,4025674870308287410,195,3763.99,2023-02-26 01:38:41
14,36958603950962,65,200.75,2024-01-25 01:38:41
15,36805013925706,37,982.42,2023-06-29 01:38:41
16,4709881595924463859,149,4874.78,2024-10-30 01:38:41
17,2237443353469763,11,6654.49,2024-04-10 01:38:41
18,502065609377,34,4003.56,2024-09-24 01:38:41
19,4456249026178842,207,5835.54,2023-04-21 01:38:41
20,6011479719007148,167,117.67,2024-08-03 01:38:41
21,4886058799110928,101,2292.84,2024-11-25 01:38:41
22,6536831641395619,180,2556.51,2023-06-07 01:38:41
23,4209958770990976,173,9529.07,2023-06-07 01:38:41
24,4884914722155,209,4407.96,2023-04-24 01:38:41
25,370398717893275,194,4486.75,2023-06-21 01:38:41
26,4210787121071294,164,6889.68,2023-03-11 01:38:41
27,4416074094142903,237,1174.41,2024-05-12 01:38:41
28,4913246289089578176,167,7898.5,2023-10-03 01:38:41
29,3567822304073212,90,4802.97,2024-02-24 01:38:41
30,180082640397410,248,6922.37,2023-12-07 01:38:41
31,2271973031590603,36,6727.75,2023-09-13 01:38:41
32,4252665526128,20,8122.01,2024-03-21 01:38:41
33,4798977303768748,190,5063.62,2023-10-26 01:38:41
34,562467669387,75,7023.69,2024-08-12 01:38:41
35,348215037178774,241,6253.45,2024-10-23 01:38:41
36,3540267152185373,224,7167.17,2023-07-10 01:38:41
37,4245854778849,56,5314.78,2024-01-16 01:38:41
38,180058071769889,196,8838.07,2023-01-04 01:38:41
39,4832144670635178,120,7009.55,2023-10-29 01:38:41
40,4899224949949426,104,5084.6,2024-08-28 01:38:41
41,6011216141340352,186,6881.59,2024-04-22 01:38:41
42,4303716606671615162,242,9143.26,2023-08-10 01:38:41
43,3575219804556640,60,2298.22,2024-02-15 01:38:41
44,3594651135311484,222,32377.9,2024-07-26 01:38:41
45,4025300188203431,228,7174.91,2024-06-24 01:38:41
46,6596250969515244,249,9351.92,2022-12-25 01:38:41
47,4255663472252,186,2095.67,2023-12-22 01:38:41
48,3531413361664102,78,4606.35,2023-11-25 01:38:41
49,6011969960659183,27,9203.95,2023-06-29 01:38:41
50,5579306791332621,172,1370.01,2024-09-13 01:38:41
51,376940725885472,216,8394.2,2024-08-20 01:38:41
52,3549356493831018,174,5655.06,2023-05-24 01:38:41
53,346390244168652,70,2637.74,2023-04-06 01:38:41
54,3579646582336975,225,2106.95,2024-01-21 01:38:41
55,6565586401147592,180,2361.35,2023-05-13 01:38:41
56,564083211149,195,4978.48,2024-02-12 01:38:41
57,3541462801178916,32,3581.82,2023-09-02 01:38:41
58,346390244168652,81,75772.0,2023-05-21 01:38:41
59,6011093760576628,151,5890.86,2023-11-22 01:38:41
60,4745008509865004848,55,2835.28,2023-01-20 01:38:41
61,213185651577175,105,638.57,2023-08-20 01:38:41
62,2709521710678512,61,4071.27,2022-12-07 01:38:41
